m1,m1p1,38,0
m1,m1p2,40,0
m1,m1p3,36,0
m1,m1p4,43,0
m1,m1p5,39,2
m1,m1p6,48,4
m1,m1p7,43,0
m1,m1p8,36,0
m1,m1p9,39,0
m1,m1p10,32,0
m1,m1p11,38,0
m1,m1p12,43,0
m1,m1p13,39,0
m1,m1p14,45,0
m1,m1p15,40,0
m1,m1p16,33,0
m1,m1p17,41,0
m1,m1p18,36,0
m1,m1p19,36,1
m1,m1p20,48,0
m1,m1p21,41,0
m1,m1p22,33,0
m1,m1p23,43,0
m1,m1p24,41,0
m1,m1p25,37,0
m1,m1p26,36,0
m1,m1p27,35,0
m1,m1p28,33,0
m1,m1p29,42,1
m1,m1p30,37,0
m1,m1p31,40,0
m1,m1p32,41,0
m1,m1p33,39,0
m1,m1p34,48,0
m1,m1p35,35,0
m1,m1p36,44,0
m1,m1p37,33,1
m1,m1p38,41,0
m1,m1p39,51,0
m1,m1p40,39,0
m1,m1p41,42,1
m1,m1p42,40,0
m1,m1p43,43,0
m1,m1p44,34,0
m1,m1p45,39,0
m1,m1p46,38,0
m1,m1p47,36,1
m1,m1p48,46,0
m1,m1p49,43,0
m1,m1p50,43,0
m1,m1p51,42,0
m1,m1p52,39,0
m1,m1p53,36,0
m1,m1p54,38,0
m1,m1p55,36,0
m1,m1p56,38,0
m1,m1p57,40,0
m1,m1p58,47,0
m1,m1p59,39,0
m1,m1p60,44,0
m1,m1p61,39,0
m1,m1p62,38,0
m1,m1p63,33,0
m1,m1p64,38,0
m1,m1p65,48,0
m1,m1p66,35,0
m1,m1p67,38,0
m1,m1p68,31,0
m1,m1p69,35,0
m1,m1p70,52,0
m1,m1p71,36,0
m1,m1p72,38,0
m1,m1p73,35,0
m1,m1p74,40,0
m1,m1p75,38,0
m1,m1p76,40,0
m1,m1p77,46,0
m1,m1p78,45,0
m1,m1p79,40,0
m1,m1p80,44,1
m1,m1p81,38,0
m1,m1p82,33,0
m1,m1p83,41,0
m1,m1p84,35,0
m1,m1p85,39,0
m1,m1p86,41,0
m1,m1p87,35,0
m1,m1p88,33,0
m1,m1p89,47,0
m1,m1p90,48,0
m1,m1p91,44,0
m1,m1p92,48,0
m1,m1p93,40,0
m1,m1p94,32,0
m1,m1p95,47,0
m1,m1p96,34,0
m1,m1p97,44,0
