m1,m1p1,36,1
m1,m1p2,42,2
m1,m1p3,45,1
m1,m1p4,43,1
m1,m1p5,48,1
m1,m1p6,32,1
m1,m1p7,41,2
m1,m1p8,33,1
m1,m1p9,42,1
m1,m1p10,35,1
m1,m1p11,37,1
m1,m1p12,35,1
m1,m1p13,47,1
m1,m1p14,36,2
m1,m1p15,48,2
m1,m1p16,38,1
m1,m1p17,42,2
m1,m1p18,37,1
m1,m1p19,40,2
m1,m1p20,41,1
m1,m1p21,48,2
m1,m1p22,35,1
m1,m1p23,29,3
m1,m1p24,40,1
m1,m1p25,38,1
m1,m1p26,45,1
m1,m1p27,41,1
m1,m1p28,45,1
m1,m1p29,39,1
m1,m1p30,43,1
m1,m1p31,44,1
m1,m1p32,40,1
m1,m1p33,35,1
m1,m1p34,37,1
m1,m1p35,31,1
m1,m1p36,44,1
m1,m1p37,33,1
m1,m1p38,37,1
m1,m1p39,48,1
m1,m1p40,34,1
m1,m1p41,39,1
m1,m1p42,39,1
m1,m1p43,34,1
m1,m1p44,36,1
m1,m1p45,36,1
m1,m1p46,41,2
m1,m1p47,35,1
m1,m1p48,39,3
m1,m1p49,34,1
m1,m1p50,31,1
m1,m1p51,36,1
m1,m1p52,41,1
m1,m1p53,37,1
m1,m1p54,42,1
m1,m1p55,36,1
m1,m1p56,32,1
m1,m1p57,45,2
m1,m1p58,33,2
m1,m1p59,39,1
m1,m1p60,39,1
m1,m1p61,37,5
m1,m1p62,41,1
m1,m1p63,37,1
m1,m1p64,40,1
m1,m1p65,39,2
m1,m1p66,35,1
m1,m1p67,39,1
m1,m1p68,32,1
m1,m1p69,46,1
m1,m1p70,33,1
m1,m1p71,39,2
m1,m1p72,39,1
m1,m1p73,45,1
m1,m1p74,37,1
m1,m1p75,49,1
m1,m1p76,39,1
m1,m1p77,40,1
m1,m1p78,40,1
m1,m1p79,44,1
m1,m1p80,48,1
m1,m1p81,35,1
m1,m1p82,41,1
m1,m1p83,40,1
m1,m1p84,40,1
m1,m1p85,47,1
m1,m1p86,34,1
m1,m1p87,38,2
m1,m1p88,35,1
m1,m1p89,42,1
m1,m1p90,38,1
m1,m1p91,37,1
m1,m1p92,41,1
m1,m1p93,44,1
m1,m1p94,42,1
m1,m1p95,40,1
m1,m1p96,38,1
m1,m1p97,46,2
m1,m1p98,42,1
m1,m1p99,34,1
m2,m2p1,40,2
m2,m2p2,37,1
m2,m2p3,41,1
m2,m2p4,46,1
m2,m2p5,46,1
m2,m2p6,45,1
m2,m2p7,44,1
m2,m2p8,32,1
m2,m2p9,38,1
m2,m2p10,36,1
m2,m2p11,48,1
m2,m2p12,39,1
m2,m2p13,37,1
m2,m2p14,37,1
m2,m2p15,44,1
m2,m2p16,34,1
m2,m2p17,46,1
m2,m2p18,45,1
m2,m2p19,36,1
m2,m2p20,33,1
m2,m2p21,48,2
m2,m2p22,40,1
m2,m2p23,41,1
m2,m2p24,45,1
m2,m2p25,41,1
m2,m2p26,41,1
m2,m2p27,37,1
m2,m2p28,44,1
m2,m2p29,36,1
m2,m2p30,47,1
m2,m2p31,42,2
m2,m2p32,38,1
m2,m2p33,41,1
m2,m2p34,23,1
m2,m2p35,40,4
m2,m2p36,38,2
m2,m2p37,44,1
m2,m2p38,33,2
m2,m2p39,37,1
m2,m2p40,35,1
m2,m2p41,52,1
m2,m2p42,41,1
m2,m2p43,45,1
m2,m2p44,41,1
m2,m2p45,42,1
m2,m2p46,38,2
m2,m2p47,39,1
m2,m2p48,40,1
m2,m2p49,40,1
m2,m2p50,36,1
m2,m2p51,34,1
m2,m2p52,44,1
m2,m2p53,39,1
m2,m2p54,52,3
m2,m2p55,42,1
m2,m2p56,37,1
m2,m2p57,38,1
m2,m2p58,43,3
m2,m2p59,43,3
m2,m2p60,38,1
m2,m2p61,45,1
m2,m2p62,38,1
m2,m2p63,38,1
m2,m2p64,39,1
m2,m2p65,43,1
m2,m2p66,37,1
m2,m2p67,45,2
m2,m2p68,42,1
m2,m2p69,41,1
m2,m2p70,35,1
m2,m2p71,39,1
